,ACWI IMI IMI (Large+Mid+Small Cap),ACWI Standard (Large+Mid Cap),WORLD Standard (Large+Mid Cap),EM (EMERGING MARKETS) Standard (Large+Mid Cap),EUROPE Standard (Large+Mid Cap),NORTH AMERICA Standard (Large+Mid Cap),S&P 500,NASDAQ,Dow Jones
1969-12,,,100.000,,100.000,100.000,,,
1970-01,,,94.249,,98.933,93.347,,,
1970-02,,,96.979,,95.657,98.153,,,
1970-03,,,97.075,,96.663,98.514,,,
1970-04,,,87.800,,89.345,89.644,,,
1970-05,,,82.060,,84.362,84.145,,,
1970-06,,,79.837,,85.142,81.067,,,
1970-07,,,84.585,,88.972,86.746,,,
1970-08,,,87.175,,89.423,90.007,,,
1970-09,,,89.788,,90.180,92.985,,,
1970-10,,,88.264,,89.496,92.000,,,
1970-11,,,90.035,,85.177,96.626,,,
1970-12,,,94.292,,86.952,101.638,,,
1971-01,,,98.420,,90.435,105.898,,,
1971-02,,,99.255,,90.479,106.704,,,
1971-03,,,103.407,,93.231,110.759,,,
1971-04,,,106.587,,96.871,114.337,,,
1971-05,,,103.859,,99.323,109.822,,,
1971-06,,,104.711,,99.931,110.232,,,
1971-07,,,102.836,,104.229,106.443,,,
1971-08,,,104.877,,103.881,110.497,,,
1971-09,,,103.676,,101.594,108.912,,,
1971-10,,,99.540,,97.979,104.684,,,
1971-11,,,100.176,,100.415,104.919,,,
1971-12,,,108.993,,107.003,111.508,,,
1972-01,,,112.774,,113.117,113.753,,,
1972-02,,,116.888,,119.014,116.729,,,
1972-03,,,118.297,,122.072,118.227,,,
1972-04,,,119.654,,124.143,118.220,,,
1972-05,,,121.882,,125.991,118.306,,,
1972-06,,,118.841,,119.389,116.331,,,
1972-07,,,120.466,,125.392,115.566,,,
1972-08,,,123.678,,125.933,119.749,,,
1972-09,,,121.590,,118.277,119.803,,,
1972-10,,,122.381,,117.810,120.885,,,
1972-11,,,128.591,,120.735,125.276,,,
1972-12,,,130.737,,119.526,127.340,,,
1973-01,,,130.825,,119.810,124.549,,,
1973-02,,,131.515,,127.876,118.981,,,
1973-03,,,131.476,,131.194,117.542,,,
1973-04,,,124.631,,131.608,112.928,,,
1973-05,,,124.046,,133.226,110.802,,,
1973-06,,,124.611,,138.043,110.937,,,
1973-07,,,127.351,,130.381,115.060,,,
1973-08,,,121.822,,124.579,111.264,,,
1973-09,,,125.110,,126.939,114.925,,,
1973-10,,,126.136,,129.984,115.646,,,
1973-11,,,109.548,,110.038,103.516,,,
1973-12,,,108.410,,106.272,104.931,,,
1974-01,,,109.006,,105.850,103.500,,,
1974-02,,,110.459,,108.841,103.599,,,
1974-03,,,107.416,,104.132,100.887,,,
1974-04,,,105.382,,108.322,96.649,,,
1974-05,,,100.892,,99.629,93.066,,,
1974-06,,,97.476,,94.202,91.218,,,
1974-07,,,91.462,,92.889,84.582,,,
1974-08,,,82.390,,83.036,76.891,,,
1974-09,,,74.454,,74.679,68.080,,,
1974-10,,,81.329,,77.675,79.041,,,
1974-11,,,79.808,,77.478,75.030,,,
1974-12,,,78.237,,77.731,73.599,,,
1975-01,,,89.398,,95.681,82.501,,,
1975-02,,,97.047,,107.948,86.994,,,
1975-03,,,97.510,,104.237,88.464,,,
1975-04,,,101.300,,111.395,91.734,,,
1975-05,,,103.447,,109.336,95.350,,,
1975-06,,,104.505,,102.035,99.341,,,
1975-07,,,98.483,,97.869,93.240,,,
1975-08,,,96.723,,99.671,91.092,,,
1975-09,,,92.428,,94.582,87.797,,,
1975-10,,,98.555,,101.904,92.681,,,
1975-11,,,101.013,,104.290,95.431,,,
1975-12,,,100.863,,106.254,94.183,,,
1976-01,,,109.636,,110.602,104.605,,,
1976-02,,,108.582,,108.157,103.781,,,
1976-03,,,109.621,,105.004,107.141,,,
1976-04,,,108.579,,103.471,105.936,,,
1976-05,,,106.525,,98.433,104.549,,,
1976-06,,,109.559,,97.961,108.274,,,
1976-07,,,108.288,,95.920,107.307,,,
1976-08,,,107.791,,93.647,106.786,,,
1976-09,,,108.443,,90.880,107.559,,,
1976-10,,,104.395,,83.930,104.345,,,
1976-11,,,103.725,,87.398,103.230,,,
1976-12,,,111.262,,94.726,109.151,,,
1977-01,,,107.261,,95.111,103.403,,,
1977-02,,,106.520,,95.709,101.217,,,
1977-03,,,105.581,,96.153,99.993,,,
1977-04,,,106.460,,99.423,99.794,,,
1977-05,,,104.734,,98.457,97.657,,,
1977-06,,,108.395,,99.404,101.799,,,
1977-07,,,106.659,,97.612,100.346,,,
1977-08,,,106.770,,101.708,98.108,,,
1977-09,,,107.812,,105.794,97.931,,,
1977-10,,,105.680,,108.170,93.893,,,
1977-11,,,106.709,,106.059,96.076,,,
1977-12,,,108.521,,111.438,96.802,,,
1978-01,,,105.020,,110.950,91.556,,,
1978-02,,,103.901,,110.350,89.942,,,
1978-03,,,108.282,,113.815,91.924,,,
1978-04,,,112.831,,111.787,99.840,,,
1978-05,,,113.929,,114.201,100.411,,,
1978-06,,,114.736,,114.668,99.118,,,
1978-07,,,122.678,,123.049,104.353,,,
1978-08,,,125.160,,126.971,106.625,,,
1978-09,,,126.266,,131.807,106.383,,,
1978-10,,,123.462,,137.597,98.399,,,
1978-11,,,118.757,,125.176,100.193,,,
1978-12,,,122.280,,131.098,102.686,,,
1979-01,,,125.060,,131.307,109.152,,,
1979-02,,,122.353,,133.477,107.815,,,
1979-03,,,127.068,,141.415,115.922,,,
1979-04,,,126.522,,142.921,115.932,,,
1979-05,,,123.964,,135.322,113.460,,,
1979-06,,,127.170,,138.839,117.325,,,
1979-07,,,127.746,,140.468,117.522,,,
1979-08,,,132.489,,144.260,123.381,,,
1979-09,,,135.076,,151.085,123.330,,,
1979-10,,,124.639,,137.049,114.313,,,
1979-11,,,128.077,,142.234,119.107,,,
1979-12,,,131.101,,142.095,121.016,,,
1980-01,,,138.591,,148.620,128.557,,,
1980-02,,,138.248,,149.913,128.476,,,
1980-03,,,122.959,,127.983,114.684,,,
1980-04,,,130.581,,140.398,118.892,,,
1980-05,,,136.573,,143.535,124.559,,,
1980-06,,,142.683,,153.192,128.336,,,
1980-07,,,146.628,,154.859,135.743,,,
1980-08,,,149.054,,155.585,136.247,,,
1980-09,,,153.086,,157.527,138.485,,,
1980-10,,,157.102,,162.469,140.703,,,
1980-11,,,163.233,,159.851,153.911,,,
1980-12,,,159.228,,152.799,147.957,,,
1981-01,,,154.155,,146.330,142.381,,,
1981-02,,,154.165,,144.428,144.112,,,
1981-03,,,159.204,,146.673,148.703,,,
1981-04,,,158.838,,144.642,145.314,,,
1981-05,,,155.298,,132.557,144.636,,,
1981-06,,,154.584,,128.943,143.584,,,
1981-07,,,151.506,,124.845,142.908,,,
1981-08,,,148.096,,127.919,134.825,,,
1981-09,,,136.528,,115.431,126.746,,,
1981-10,,,140.274,,119.513,131.525,,,
1981-11,,,150.253,,133.618,137.471,,,
1981-12,,,146.620,,128.672,133.017,,,
1982-01,,,144.023,,130.093,129.959,,,
1982-02,,,134.865,,124.585,122.131,,,
1982-03,,,130.746,,123.768,120.388,,,
1982-04,,,136.721,,127.078,124.523,,,
1982-05,,,132.831,,126.505,119.816,,,
1982-06,,,126.395,,115.835,116.837,,,
1982-07,,,124.336,,117.821,114.635,,,
1982-08,,,132.927,,118.088,128.297,,,
1982-09,,,133.113,,120.344,129.252,,,
1982-10,,,141.829,,121.412,142.996,,,
1982-11,,,148.919,,122.855,147.710,,,
1982-12,,,155.156,,128.701,150.368,,,
1983-01,,,158.034,,128.532,155.718,,,
1983-02,,,160.914,,133.121,158.570,,,
1983-03,,,166.139,,139.432,163.355,,,
1983-04,,,177.561,,150.413,175.870,,,
1983-05,,,175.383,,148.457,173.053,,,
1983-06,,,180.452,,150.710,178.974,,,
1983-07,,,176.796,,148.248,173.080,,,
1983-08,,,177.312,,144.658,175.795,,,
1983-09,,,180.467,,146.788,177.541,,,
1983-10,,,177.908,,146.308,174.316,,,
1983-11,,,182.061,,150.243,178.231,,,
1983-12,,,183.952,,150.996,176.755,,,
1984-01,,,185.039,,156.708,173.776,,,
1984-02,,,181.537,,161.062,166.403,,,
1984-03,,,189.609,,164.475,168.193,,,
1984-04,,,188.450,,161.791,168.825,,,
1984-05,,,173.852,,149.523,158.901,,,
1984-06,,,174.884,,148.789,161.193,,,
1984-07,,,168.266,,138.553,159.079,,,
1984-08,,,184.682,,149.830,176.144,,,
1984-09,,,183.518,,147.151,175.673,,,
1984-10,,,185.009,,147.056,175.604,,,
1984-11,,,183.845,,146.203,173.390,,,
1984-12,,,187.205,,146.816,176.960,,,
1985-01,,,197.057,,153.162,190.482,100.0,100.0,
1985-02,,,196.964,,146.376,191.376,100.86287799968605,101.97344806569808,
1985-03,,,203.303,,162.810,191.531,100.57340018443399,100.17940436960893,
1985-04,,,202.242,,167.013,190.541,100.11133827467893,100.68173441451913,
1985-05,,,212.126,,175.235,201.207,105.52246167081994,104.34157698455681,
1985-06,,,215.397,,176.805,203.182,106.80287306604217,106.27915293631212,
1985-07,,,219.314,,192.922,202.601,106.28513777166471,108.10906874634408,
1985-08,,,220.587,,202.268,200.129,105.0102988116442,106.81736604513885,
1985-09,,,221.702,,205.034,192.696,101.36391297758998,100.57408522276955,
1985-10,,,233.095,,227.220,200.388,105.6727730136477,104.95155622121663,
1985-11,,,245.573,,244.399,213.568,112.54801128621999,112.66594411440008,
1985-12,,,256.514,,254.450,223.184,117.61954742312248,116.57695718187972,
1986-01,,,259.748,,258.701,223.284,117.89789735710272,120.48797024935938,
1986-02,,,282.575,,288.794,238.540,126.32633301824157,128.99174174881153,
1986-03,,,309.601,,311.782,251.619,132.99559505792956,134.44563896491215,
1986-04,,,317.502,,340.054,247.906,131.1139552805279,137.49551324826373,
1986-05,,,315.983,,309.327,258.860,137.69971573784815,143.59526181496693,
1986-06,,,328.041,,322.092,260.928,139.6425928405081,145.49694375283192,
1986-07,,,330.052,,318.619,246.469,131.44797010456472,133.261563555509,
1986-08,,,358.260,,353.483,263.490,140.80609352584966,137.38786405651413,
1986-09,,,343.351,,330.311,241.588,128.77581753400716,125.8342292236841,
1986-10,,,336.821,,331.616,254.056,135.8236314065166,129.45818872980524,
1986-11,,,350.458,,348.757,259.134,138.7407417726732,129.02762481272808,
1986-12,,,356.825,,356.905,252.588,134.81600600463872,125.15248385919122,
1987-01,,,398.106,,372.012,285.543,152.5802923353872,140.68890883730768,
1987-02,,,410.589,,384.631,295.421,158.2141092700178,152.4937141675797,
1987-03,,,435.354,,402.942,304.003,162.3893582797213,154.32364092758542,
1987-04,,,460.209,,418.004,300.326,160.52996577029742,149.91028686522182,
1987-05,,,460.177,,414.976,301.205,161.4986350931582,149.4438398842281,
1987-06,,,459.236,,426.102,315.703,169.23675985998236,152.38607592580388,
1987-07,,,467.738,,439.733,331.064,177.39798196297863,156.04591849584153,
1987-08,,,494.701,,442.680,342.800,183.59960965770975,163.25797634411475,
1987-09,,,485.400,,444.857,335.154,179.16271103049957,159.41871845449444,
1987-10,,,402.279,,359.522,262.515,140.17145601615735,116.00286100913644,
1987-11,,,391.765,,342.885,239.812,128.20798129020903,109.50843158927262,
1987-12,,100.0,407.994,100.000,361.993,255.907,137.54940439502042,118.58628831149434,
1988-01,,102.33,417.213,109.419,346.347,265.033,143.1108391339892,123.6813767883771,
1988-02,,108.073,440.683,109.682,365.925,275.747,149.09536271456423,131.6828072929453,
1988-03,,111.222,453.227,120.643,375.152,267.224,144.12403697106885,134.4097559009956,
1988-04,,112.448,458.164,126.266,381.252,268.979,145.48236901889123,136.0602782913924,
1988-05,,110.041,448.228,129.617,373.265,269.493,145.94443942321217,132.8668717523747,
1988-06,,109.746,446.842,133.710,368.670,281.959,152.2574138871881,141.62181374926882,
1988-07,,111.593,454.478,129.921,368.675,279.881,151.43349196651917,138.96662031907786,
1988-08,,105.278,428.746,125.919,351.128,269.225,145.58814335293425,135.12737337943125,
1988-09,,109.618,446.168,133.736,369.398,279.433,151.37226313582676,139.110152574744,
1988-10,,116.601,475.074,132.541,402.762,287.194,155.30256284449712,137.24434275082174,
1988-11,,120.314,490.802,131.761,406.826,282.144,152.36876065643287,133.29744661942556,
1988-12,,121.202,494.428,134.871,408.086,286.156,154.60668800954653,136.84965094768737,
1989-01,,125.369,511.511,132.661,422.022,307.183,165.60151040176578,143.98994266812758,
1989-02,,124.408,507.484,142.524,416.347,297.044,160.80831570427765,143.415857445358,
1989-03,,123.495,503.406,155.992,418.479,302.566,164.1540873472422,145.92751861988285,
1989-04,,126.365,514.189,184.242,429.197,317.427,172.37655527006262,153.4266190795408,
1989-05,,123.158,500.763,186.076,406.365,327.979,178.4334355626019,160.10046381898732,
1989-06,,121.227,494.288,163.285,422.246,326.509,177.01943013015713,156.18943980153395,
1989-07,,134.694,549.295,173.493,471.025,355.121,192.66268282854094,162.82740147706386,
1989-08,,131.299,535.165,177.004,464.248,359.562,195.65217539035928,168.3889369349403,
1989-09,,135.039,549.417,198.982,471.304,357.443,194.37175550057117,169.68065058611924,
1989-10,,130.458,530.233,201.307,439.481,349.028,189.4783589042418,163.4732637776402,
1989-11,,135.359,550.528,191.640,462.921,354.971,192.61258187912028,163.65266814724913,
1989-12,,139.569,567.338,214.698,511.749,361.928,196.73772993940318,163.1862102162817,
1990-01,,132.914,539.944,221.271,509.350,336.668,183.19878507321297,149.19266938678618,
1990-02,,127.092,515.886,229.757,496.109,340.343,184.76312733218305,152.7807567789645,
1990-03,,118.996,483.818,197.850,502.064,347.008,189.24455447361214,156.26120592936698,
1990-04,,117.243,475.922,210.656,487.654,337.479,184.15630952567022,150.73555353540706,
1990-05,,129.242,525.101,227.603,526.255,367.210,201.09669941944742,164.6932113009861,
1990-06,,128.119,520.408,235.143,543.594,364.855,199.30968061111943,165.87727576041547,
1990-07,,129.157,524.178,255.211,565.311,363.879,198.26865457629447,157.22999390524464,
1990-08,,116.748,474.129,221.940,508.023,330.664,179.5691080501981,136.77789576982806,
1990-09,,104.283,423.145,193.088,446.981,314.375,170.37798779364866,123.60961066054404,
1990-10,,113.615,461.640,189.248,483.414,311.727,169.23675985998236,118.33511781405237,
1990-11,,111.441,453.050,178.958,486.993,330.280,179.37983213378737,128.84822044311917,
1990-12,,113.564,461.527,185.162,478.687,338.810,183.83343107747112,134.1227023396371,
1991-01,,117.497,477.387,200.192,493.513,352.751,191.46578151025227,148.6185841640166,
1991-02,,128.281,520.574,229.627,535.434,376.070,204.34782460964075,162.5762419295956,
1991-03,,124.438,504.264,238.234,498.387,383.543,208.8849251356922,173.05345054477218,
1991-04,,125.212,507.243,238.953,492.020,384.225,208.95172640158637,173.92177251166774,
1991-05,,127.942,517.764,256.968,505.389,399.028,217.01830205181142,181.5966857495509,
1991-06,,119.884,484.846,247.267,461.878,380.329,206.62472503090322,170.7642599865403,
1991-07,,125.336,506.778,259.509,492.752,396.294,215.89377443461868,180.13634250291432,
1991-08,,124.821,504.198,264.266,500.610,404.538,220.1358247102164,188.6185754040376,
1991-09,,127.737,516.432,253.839,514.441,396.401,215.92160263236403,189.0491502710885,
1991-10,,129.699,523.818,263.957,502.453,402.951,218.4768699767385,194.82596221251666,
1991-11,,123.853,499.994,259.773,489.442,386.080,208.8849251356922,187.97990723620254,
1991-12,,132.78,535.364,288.796,526.399,426.082,232.19394588893593,210.38392578896202,
1992-01,,130.533,524.448,322.130,525.022,418.782,227.56777134531498,222.53677603427428,
1992-02,,128.293,514.402,335.967,525.870,421.993,229.75004230293797,227.29456152034692,100.0
1992-03,,122.311,489.176,346.585,506.273,412.167,224.73417105609204,216.63795948553522,99.0145989028054
1992-04,,123.67,494.993,342.450,533.011,422.066,231.00261700584906,207.63543858258285,102.79707891942762
1992-05,,128.131,513.665,340.418,562.118,422.776,231.22529355520686,210.0143422755929,103.95384989755686
1992-06,,123.278,495.424,305.519,550.359,415.753,227.21149226416878,202.22459666319259,101.55461179383703
1992-07,,123.39,495.645,308.380,529.386,431.549,236.15764623055338,208.40688613188019,103.85898642900268
1992-08,,125.873,506.637,293.440,526.299,420.212,230.49044565210744,202.05237547635124,99.68479208672659
1992-09,,124.525,500.953,294.069,516.324,421.539,232.589198038231,209.28238033156958,100.12241025980875
1992-10,,121.216,486.384,309.629,479.153,423.507,233.0790966402973,217.1402785804717,98.73305679951113
1992-11,,122.976,494.113,306.055,477.827,434.627,240.13249144257435,234.20522134167402,101.14759618570706
1992-12,,123.882,497.132,314.929,487.708,438.723,242.5596947120988,242.89558039350263,101.02243647670339
1993-01,,124.065,497.833,316.189,487.460,440.881,244.268767384129,249.85288710292383,101.29448999174345
1993-02,,126.728,508.673,321.229,492.026,446.631,246.82959017457353,240.67814501313012,103.15543375960505
1993-03,,133.75,537.200,331.295,516.303,454.940,251.44463683692265,247.62467694839998,105.12318018029663
1993-04,,139.54,561.116,337.122,526.608,445.303,245.0537162366491,237.32327016147488,104.89182299613904
1993-05,,142.542,573.068,345.394,531.207,455.351,250.6207149162538,251.35629659624445,107.94840359732554
1993-06,,141.349,567.291,354.819,522.417,455.447,250.8099908326645,252.58341635238418,107.6010689679158
1993-07,,144.013,578.019,363.231,523.221,453.748,249.47391454738573,252.85252290679753,108.31685967476257
1993-08,,150.583,603.556,393.460,568.124,468.342,258.06378943262416,266.53749347655315,111.73761528167772
1993-09,,147.797,591.436,407.469,565.329,461.656,255.48626632570617,273.6921406125547,108.79579429906192
1993-10,,151.915,606.772,443.777,587.867,470.628,260.4408917527279,279.6053016268814,112.63549722705348
1993-11,,143.762,571.488,463.173,574.169,465.971,257.0784367824216,270.68173003452966,112.7383176613484
1993-12,,151.279,598.496,539.344,616.274,471.495,259.67266020581314,278.7226242444244,114.8847857510393
1994-01,,161.054,637.008,548.878,646.648,488.364,268.1122152536579,287.2156209697253,121.74802359057296
1994-02,,158.466,627.790,538.779,622.720,472.955,260.0567844738364,284.3559258301339,117.26964154579113
1994-03,,151.071,599.737,489.211,604.035,451.432,248.16009402465053,266.7599531428724,111.26970086814605
1994-04,,154.903,617.299,478.355,627.974,456.138,251.02153950075058,263.30821482359266,112.66915556570328
1994-05,392.682,155.536,617.906,493.660,600.200,462.582,254.13348972395377,263.79259786155774,115.01576562559421
1994-06,392.593,154.502,615.194,479.180,592.783,447.575,247.32504422270986,253.3046254222036,110.93307265367199
1994-07,398.298,157.656,625.894,508.729,622.737,461.999,255.11328692808638,259.11730947757457,115.20335576251304
1994-08,410.747,162.998,643.738,571.296,641.362,479.633,264.705214780001,274.71114516796274,119.76068734436754
1994-09,400.733,158.893,625.806,577.286,614.770,469.689,257.5905911470314,274.2339234128177,117.61146980548169
1994-10,408.980,162.678,642.570,566.108,640.354,478.459,262.9571860289536,278.97020315048263,119.59849972718442
1994-11,388.733,155.33,613.676,535.995,614.671,460.515,252.56916445411542,269.22137583791937,114.4300283484649
1994-12,391.655,155.596,618.590,492.578,617.002,466.323,255.67554224211685,269.809827426224,117.34369736215004
1995-01,383.372,152.153,608.263,439.837,610.993,476.047,261.88275936118146,270.97236423729817,117.6319786045036
1995-02,385.031,153.493,616.074,428.107,623.620,494.200,271.3299568000359,284.7972535713887,122.74841964574095
1995-03,401.217,160.21,644.674,429.803,651.249,506.853,278.74518612952926,293.2220976601877,127.23597648294493
1995-04,412.986,165.732,666.043,448.288,670.769,521.355,286.5390012701075,302.8273927170849,132.2419464486493
1995-05,414.624,167.244,670.635,470.954,683.201,540.758,296.9437231614192,310.2188658849407,136.6447410545587
1995-06,414.722,166.966,669.317,471.383,688.312,552.813,303.2622530714651,334.9300220028772,139.42834916719707
1995-07,434.524,174.737,701.687,481.278,722.839,570.062,312.8987264267303,359.2429056762693,144.09126557520008
1995-08,426.332,170.611,684.957,469.281,693.595,569.084,312.798524527889,366.02437770751783,141.09496365908058
1995-09,435.538,175.0,703.797,466.406,713.212,592.045,325.3409548843414,374.4312857393455,146.55813415205157
1995-10,426.314,171.776,691.604,448.106,708.503,590.477,323.7209732190123,371.7474033779793,145.52988498112632
1995-11,437.675,176.881,714.509,439.690,712.220,615.181,337.00939634896764,380.0501990595725,155.2924169967064
1995-12,449.854,181.895,734.280,458.369,733.448,623.240,342.8881455954996,377.5134405452561,156.59700075438013
1996-01,457.615,185.639,746.451,490.519,736.940,644.915,354.0722608932614,380.26192775163537,165.11001270947833
1996-02,460.743,186.093,749.857,481.920,748.998,649.903,356.52729236053113,394.707571096537,167.87404593926155
1996-03,466.717,188.636,761.184,484.796,756.568,655.711,359.3497647684823,395.191954134502,170.98081893091404
1996-04,480.578,192.895,777.929,502.463,760.684,665.194,364.1763431097858,427.16898722159965,170.42813481475847
1996-05,480.620,192.759,777.437,498.991,765.168,681.459,372.4990129314475,446.1535698775859,172.69578786624737
1996-06,479.907,193.484,780.202,501.041,772.185,683.176,373.33963516858995,425.1955391559016,173.0461782693547
1996-07,458.722,185.927,751.451,465.872,761.075,652.464,356.2600872969544,387.72512324742934,169.19883217145446
1996-08,464.962,187.894,758.902,477.132,782.207,666.689,362.9627414750236,409.5801758171582,171.87043011471704
1996-09,479.326,194.511,787.436,480.616,797.231,702.334,382.63652975918245,440.2296340891078,180.00948709398835
